INFO:root:Ingest Issues at [2015-10-26T15:26:36.934058+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:27:11.374169+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:27:42.176259+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:28:12.859966+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:28:43.692498+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:29:14.679941+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:29:47.106932+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:30:17.949674+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:30:48.692631+08:00], issue no[151026057]
INFO:root:Ingest Issues at [2015-10-26T15:31:21.302245+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:31:52.133956+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:32:22.930647+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:32:53.716640+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:33:24.732211+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:33:55.507596+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:34:26.262542+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:34:56.980419+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:35:30.183564+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:36:00.993068+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:36:31.936236+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:37:02.539876+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:37:33.293373+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:38:04.122821+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:38:34.839355+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:39:05.596237+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:39:36.428896+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:40:07.118064+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:40:38.854440+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:41:10.451393+08:00], issue no[151026058]
INFO:root:Ingest Issues at [2015-10-26T15:41:43.560246+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:42:14.148410+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:42:47.413051+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:43:18.196284+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:43:48.940013+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:44:19.628280+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:44:50.346429+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:45:21.077119+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:45:52.046354+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:46:23.720517+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:46:54.639847+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:47:25.475079+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:47:56.706524+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:48:27.391936+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:48:58.197927+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:49:29.077955+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:50:00.056750+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:50:30.835540+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:51:01.757782+08:00], issue no[151026059]
INFO:root:Ingest Issues at [2015-10-26T15:51:33.006512+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:52:03.902523+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:52:34.796302+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:53:05.380470+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:53:36.083629+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:54:06.750360+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:54:37.669053+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:55:08.491153+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:55:39.356075+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:56:10.307298+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:56:41.091640+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:57:12.060842+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:57:42.771322+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:58:13.526939+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:58:44.338843+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:59:15.127861+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T15:59:46.094711+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:00:17.357110+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:00:48.228410+08:00], issue no[151026060]
INFO:root:Ingest Issues at [2015-10-26T16:01:24.009712+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:01:54.711885+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:02:27.738398+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:02:58.633395+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:03:29.365498+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:04:00.257228+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:04:31.122066+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:05:01.749208+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:05:32.525716+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:06:03.409691+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:06:34.226372+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:07:05.121891+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:07:35.979795+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:08:06.658730+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:08:37.340981+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:09:08.210088+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:09:39.785262+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:10:10.464357+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:10:41.190670+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:11:12.080019+08:00], issue no[151026061]
INFO:root:Ingest Issues at [2015-10-26T16:11:42.741923+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:12:13.535330+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:12:44.323687+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:13:15.109599+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:13:45.943479+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:14:16.800195+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:14:47.578068+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:15:18.466954+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:15:52.046936+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:16:22.786536+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:16:56.593883+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:17:27.499616+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:17:58.341460+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:18:29.114774+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:18:59.930388+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:19:30.706797+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:20:01.626657+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:20:33.464006+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:21:06.358563+08:00], issue no[151026062]
INFO:root:Ingest Issues at [2015-10-26T16:21:37.151154+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:22:08.015752+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:22:41.322320+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:23:12.121255+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:23:42.830425+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:24:13.795555+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:24:44.385651+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:25:15.149372+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:25:46.063654+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:26:16.995739+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:26:47.691697+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:27:18.440447+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:27:52.100371+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:28:22.907328+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:28:53.516252+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:29:24.216662+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:29:54.839984+08:00], not updated yet!
INFO:root:Ingest Issues at [2015-10-26T16:30:25.600889+08:00], not updated yet!
